a_x,a_y,a_z,g_x,g_y,g_z
0.21,1.285,-0.065,-4.577,36.376,-5.371
0.208,1.465,-0.093,-42.663,53.1,-20.629
0.144,-0.011,0.987,6.835,-0.183,-3.845
0.146,-0.002,1.01,2.99,-0.854,1.403
0.142,0.001,1.008,1.037,-0.122,-0.488
0.12,0.021,0.96,18.981,3.54,-5.981
0.132,0.055,0.857,34.423,19.836,-17.7
0.117,0.103,0.919,49.072,20.324,16.784
-0.095,0.434,0.304,132.69,37.536,23.62
0.647,1.245,1.062,155.395,67.871,-98.083
0.048,0.896,1.309,230.651,-189.27,129.76
-0.043,0.543,1.275,198.12,20.935,-72.814
0.519,0.301,1.122,71.533,50.659,10.131
0.001,0.759,1.443,-18.371,32.653,5.249
0.113,0.515,0.831,-126.953,28.869,-18.005
-0.07,0.671,0.796,-41.32,-16.113,2.99
0.049,0.694,0.721,-2.929,-10.131,9.399
0.034,0.657,0.673,4.882,3.173,-4.394
0.056,0.646,0.714,-16.784,4.516,-7.69
0.081,0.632,0.768,-7.324,9.765,-7.385
-0.017,0.686,0.778,0.305,-4.76,0.183
0.041,0.626,0.771,-18.005,12.207,-8.544
-0.153,-0.065,1.007,9.033,-1.647,-19.104
0.022,-0.052,0.967,4.089,4.089,7.202
-0.03,-0.161,0.934,-4.638,-17.7,3.295
-0.02,-0.277,0.881,24.597,-3.784,1.403
-0.167,-0.174,1.124,20.935,-10.498,-27.099
0.364,-0.149,1.083,-10.559,-146.423,40.344
0.147,-0.184,1.134,-49.133,5.31,31.066
-0.108,-0.136,0.912,-11.962,51.574,10.009
-0.002,-0.178,1.075,9.704,15.197,12.268
0.22,-0.013,1.252,59.326,57.006,21.911
-0.004,0.205,1.059,20.019,15.197,44.433
-0.26,0.133,0.607,-1.098,-45.898,27.77
0.008,0.243,1.002,56.518,-36.071,7.202
0.024,0.078,0.949,3.112,-8.483,16.174
0.087,-0.117,1.18,3.601,12.756,-5.065
0.366,0.076,1.08,-23.254,16.357,-18.859
0.383,0.159,1.134,-6.225,63.598,32.714
-0.606,-0.05,0.994,-34.729,20.324,-67.871
0.089,-0.134,0.903,10.742,-14.587,-23.864
0.03,-0.049,1.1,9.216,-9.582,-6.713
-0.04,0.975,-0.206,-0.793,5.676,-4.638
-0.058,0.946,-0.197,0.793,10.62,6.408
-0.01,0.958,-0.166,-15.502,-3.051,17.883
-1.239,0.823,-0.184,18.31,-171.142,6.591
0.165,0.06,-0.052,71.899,286.743,108.825
0.069,0.39,0.054,-151.916,21.24,-77.575
-0.88,3.999,-0.744,-150.573,1997.985,372.985
-0.829,2.039,-0.411,836.059,600.036,48.95
0.065,0.448,0.065,-127.929,-618.286,112.121
0.309,0.992,-0.23,-45.41,344.604,-209.594
0.128,1.053,0.005,110.961,-16.906,30.09
0.223,1.1,-2.707,-163.33,-408.02,-89.233
0.194,0.814,-0.077,144.958,81.359,24.169
0.166,1.043,-0.148,0.366,156.616,-175.415
0.305,1.048,-0.122,122.375,-158.02,6.53
0.183,0.985,-0.13,13.977,96.374,-27.282
0.277,0.995,-0.068,51.33,74.768,-45.898
0.23,0.968,-0.115,14.404,-63.293,57.067
0.198,0.967,-0.119,-7.324,54.504,7.08
0.25,1.016,-0.139,-54.931,21.057,49.194
0.157,0.975,-0.034,-0.183,-0.061,0.427
0.16,0.984,0.002,-0.793,2.441,1.953
0.165,0.986,-0.017,-1.831,6.835,9.094
0.186,0.893,-0.036,-4.272,-0.793,23.01
0.194,1.305,0.024,-146.606,-73.364,-240.234
0.049,-0.203,-0.134,-59.997,-14.282,-65.979
0.306,0.319,0.003,6.53,527.221,36.132
0.043,0.239,-0.304,-74.401,-1089.111,-424.377
1.534,3.999,-0.12,68.969,1405.578,-81.176
-0.01,3.096,-0.358,-375.915,-1209.533,315.124
0.323,0.773,-0.222,36.01,-324.035,265.441
-0.225,0.624,-0.11,-18.249,279.785,-51.94
0.236,1.43,-0.305,60.791,373.779,-138.183
0.464,0.925,0.0,174.621,-421.569,44.189
0.19,1.1,-0.156,-8.789,-37.292,-27.526
0.229,0.879,0.0,17.272,-24.78,-115.173
0.296,1.062,-0.13,34.973,-74.157,-37.658
0.237,1.002,-0.057,-73.852,28.015,-34.118
0.292,0.95,-0.052,-56.884,-7.873,-28.137
0.29,0.973,-0.11,0.915,27.832,41.198
0.145,0.951,0.182,4.394,1.953,-0.976
0.143,0.965,0.176,0.366,2.136,0.671
0.122,0.956,0.175,2.807,4.15,4.577
0.144,0.964,0.18,1.708,4.028,2.075
0.109,0.957,0.15,3.601,2.136,11.535
0.124,0.836,0.123,3.417,-375.61,44.799
-0.073,-0.308,-0.207,155.212,-390.747,-45.166
0.209,0.338,0.031,69.335,355.285,-19.104
-0.105,0.105,-0.865,-184.082,-1409.301,-791.259
-0.379,2.642,0.226,-346.374,168.457,349.182
-0.391,0.331,-0.128,-205.261,415.222,-42.724
0.135,0.408,-0.072,479.003,506.225,51.33
0.031,0.963,-0.032,167.602,-31.433,1.403
0.323,2.08,-0.083,97.778,309.57,-11.474
0.032,0.713,-0.118,-192.81,-242.187,-368.53
0.382,0.829,-0.021,318.481,58.349,-78.247
0.172,0.725,0.11,-44.067,-2.136,-59.02
0.271,1.076,-0.066,-64.758,-203.613,-207.946
0.486,1.386,-0.119,40.649,177.124,96.374
0.247,1.279,-0.117,-88.012,-5.554,98.815
0.088,-0.791,0.573,9.521,-0.305,-0.976
0.0,-0.758,0.651,107.299,0.549,-16.967
0.049,-0.581,0.251,290.954,-10.253,-114.257
0.499,-0.021,0.24,553.466,50.537,-104.431
0.003,0.89,0.834,396.484,-55.908,-72.509
0.401,1.165,0.702,233.459,-6.774,-116.333
0.367,1.193,0.783,129.821,-41.748,-84.472
0.016,0.95,1.11,31.249,-12.817,-67.382
-0.186,0.835,0.795,17.089,11.291,-9.216
-0.025,0.748,0.56,23.803,-16.296,13.244
0.048,0.822,0.211,-10.375,-4.333,4.272
-0.14,0.992,0.279,-22.399,-3.173,-5.065
-0.022,0.889,0.26,-5.432,-1.586,-7.324
-0.07,0.922,0.373,10.192,-3.295,-4.943
-0.059,0.941,0.328,7.324,-6.042,11.108
-0.062,0.911,0.362,6.103,-2.624,2.197
-0.016,0.938,0.329,-7.995,-2.014,-3.662
-0.018,0.941,0.358,-5.126,-1.159,-2.99
-0.062,0.912,0.368,-7.995,-7.812,-1.22
-0.029,0.922,0.422,-18.737,-0.549,-2.258
-0.025,0.992,-0.207,-0.427,4.455,2.258
-0.001,0.992,-0.21,-5.554,6.652,0.0
-0.001,0.955,-0.173,-3.845,12.817,5.432
0.025,0.87,-0.123,-54.443,-37.719,7.507
-0.016,-0.152,-0.058,-109.069,299.255,-99.914
0.23,0.142,0.022,-123.901,374.084,18.615
0.051,0.358,0.04,-51.94,-569.946,-30.456
0.355,2.578,-0.288,402.221,1702.331,194.396
