a_x,a_y,a_z,g_x,g_y,g_z
-0.346,0.474,-0.117,61.157,-100.28,-81.237
0.104,0.334,0.109,-33.447,18.188,87.28
0.287,1.073,0.165,-221.252,349.365,168.823
0.105,0.893,0.063,-359.13,-485.229,-189.147
0.33,1.643,0.075,314.697,236.511,82.336
0.153,1.897,0.006,-28.869,346.923,18.859
0.173,1.423,0.158,-98.449,-527.16,141.357
0.157,0.977,0.004,-88.562,-267.639,-26.489
0.196,0.659,0.149,203.063,155.639,4.516
0.139,0.588,0.177,15.563,66.04,-15.075
0.114,0.656,0.158,21.362,-101.684,-71.533
0.245,0.869,0.122,-50.048,-30.151,-24.902
0.279,1.099,0.094,28.259,145.202,-28.137
0.283,1.319,0.107,-62.866,18.493,1.892
0.27,1.26,0.082,-127.502,-85.693,20.812
0.271,1.019,0.067,-103.21,-10.803,37.475
0.242,0.822,0.085,-28.625,31.433,33.935
0.115,0.972,0.001,-1.586,-0.061,-1.586
0.12,0.983,0.001,2.807,-1.159,-4.211
0.109,0.977,0.003,-1.281,-5.798,-5.676
0.117,1.028,0.005,-3.173,-13.427,-8.422
0.079,1.008,-0.03,24.536,3.601,6.225
0.066,0.849,-0.088,42.358,-120.056,45.837
-0.048,-0.145,-0.103,207.336,-363.586,-73.974
0.134,0.348,0.141,-20.141,195.922,123.168
0.333,1.325,0.163,-237.67,797.119,-101.501
0.021,1.506,0.019,-405.822,-903.808,-310.302
0.681,2.186,0.074,-127.685,-333.923,230.468
0.456,1.774,0.11,165.893,105.041,180.175
0.255,1.076,0.183,120.483,89.904,86.181
0.059,0.604,0.107,-131.652,-238.83,-122.375
0.047,0.387,0.085,-69.702,-446.411,-223.51
0.23,0.547,0.126,-21.728,-168.518,-15.136
0.33,0.758,0.136,80.749,361.083,124.389
0.197,1.001,0.151,144.653,246.582,-13.427
0.238,1.387,0.192,-33.996,-51.391,-17.333
0.278,1.455,0.071,-161.315,-156.738,-24.902
-0.04,-0.208,0.941,2.868,-3.356,-2.197
-0.016,-0.215,1.01,-2.563,0.061,0.732
-0.016,-0.217,1.001,-7.202,-0.122,-5.859
0.014,-0.217,0.959,-0.122,-0.976,-5.92
0.033,-0.209,0.978,3.906,1.098,-6.408
0.03,-0.209,0.979,4.089,-1.892,-4.394
0.019,-0.199,1.005,2.319,-4.882,0.061
0.004,-0.199,0.99,3.112,-4.76,1.159
0.001,-0.187,0.978,3.295,-1.586,-1.953
0.034,-0.193,0.989,2.502,-0.122,0.061
0.013,-0.186,0.996,0.305,-2.929,0.549
-0.001,-0.192,0.98,1.892,1.098,-0.427
0.002,-0.192,0.98,0.0,-0.671,-0.366
0.024,-0.181,0.984,1.159,0.244,-0.122
0.0,-0.187,0.991,0.244,0.183,1.586
0.016,-0.185,0.99,1.525,-2.624,-0.183
0.035,-0.178,0.978,1.22,0.0,0.915
0.032,-0.188,0.995,1.342,-0.976,0.671
0.005,-0.184,0.986,0.61,-0.366,-0.488
0.008,-0.182,0.967,6.896,0.671,-1.281
0.088,-0.026,1.012,-3.051,-0.244,2.746
0.067,-0.04,0.974,2.258,-1.831,1.831
0.07,-0.025,0.986,4.577,-0.366,-0.671
0.077,-0.023,1.009,2.929,0.488,0.427
0.072,-0.025,1.005,0.488,1.037,0.305
0.066,-0.031,0.993,-2.502,-4.455,8.483
0.104,-0.041,0.986,-13.488,-1.037,6.469
0.045,-0.044,0.994,-9.46,-2.685,-1.403
0.082,-0.055,0.994,0.427,0.793,-0.183
0.06,-0.057,0.997,-1.525,-3.723,3.112
0.036,-0.097,1.008,-4.394,-23.193,-6.225
0.221,-0.282,1.18,9.704,-70.739,8.544
0.271,-0.807,0.651,60.363,30.883,38.513
-0.637,-0.028,0.815,-38.574,35.949,-70.251
0.595,-0.169,1.434,-12.512,15.441,-15.624
0.922,0.785,0.944,18.005,36.071,47.119
0.114,0.227,0.647,-31.616,13.061,12.207
-0.018,0.039,0.993,27.77,-12.634,-1.77
-0.11,-0.045,0.979,-1.953,-6.652,0.976
0.04,-0.007,1.056,5.126,-8.728,-5.737
-0.08,-0.792,0.691,5.371,-0.671,3.845
-0.097,-0.79,0.585,6.408,-2.197,4.76
-0.112,-0.78,0.708,0.244,3.845,-8.972
-0.056,-0.785,0.8,-31.677,-18.005,-6.591
-0.064,-0.77,0.92,-104.553,-44.799,-6.591
-0.11,-0.813,0.03,-169.372,-81.359,-11.291
-0.434,-0.227,-4.0,409.851,241.882,-126.953
-1.343,3.199,2.208,737.243,-182.495,8.056
-0.285,1.852,1.348,326.416,41.992,-3.112
0.451,1.783,1.042,132.995,49.438,-71.472
-0.099,1.155,0.898,65.063,-14.892,-28.808
-0.073,0.625,0.296,27.404,14.77,-17.333
0.222,0.921,0.357,6.225,3.784,-14.77
0.014,0.975,0.472,17.578,-3.723,-13.427
0.044,0.882,0.326,-0.122,-1.831,13.122
-0.063,0.886,0.402,-11.291,-4.394,-14.587
0.049,0.919,0.417,-10.681,-7.141,-7.263
0.072,0.898,0.427,-11.657,-4.089,2.441
-0.021,0.876,0.448,-4.516,-0.488,-4.394
-0.009,0.87,0.442,1.647,-3.662,-2.014
-0.017,-0.847,0.534,4.028,-2.258,1.037
-0.057,-0.83,0.563,3.906,-1.037,1.281
-0.067,-0.817,0.742,-8.056,-8.972,-10.192
-0.009,-0.834,0.688,-56.396,-37.597,6.408
-0.043,-0.857,0.672,-97.9,-34.729,14.404
-0.059,-0.844,-0.122,-160.034,-34.606,8.85
0.035,-0.92,-0.28,-107.238,-5.92,1.281
-0.141,-0.823,-0.617,10.009,-4.394,-53.466
0.316,-0.377,-2.24,147.644,-18.859,-100.28
0.026,3.54,0.561,1426.208,52.001,-52.429
-0.767,2.701,1.253,594.421,-50.476,-169.311
0.432,1.434,0.995,184.753,-11.779,-96.496
-0.064,0.953,0.732,127.929,-27.526,-39.672
0.005,0.767,0.451,66.833,-18.981,-71.166
0.304,0.924,0.513,24.23,16.906,-36.804
-0.055,0.988,0.424,-6.53,24.169,-13.671
-0.197,0.913,0.391,-3.662,3.723,-2.807
-0.134,0.927,0.336,-2.258,-3.845,-8.972
-0.077,0.884,0.333,1.586,-7.507,0.061
-0.145,0.905,0.333,3.723,-5.615,-7.263
1.084,-0.293,0.536,19.409,39.428,34.851
1.413,-0.356,0.355,45.776,124.511,111.328
1.497,-0.262,1.116,-124.877,58.166,204.223
0.782,-0.35,0.707,-163.146,17.15,236.877
0.142,-0.5,0.14,-97.656,-0.244,170.532
-0.708,-0.476,-1.566,45.104,-9.155,-241.943
1.306,1.13,-0.692,1050.17,-88.867,-134.887
-0.073,1.782,1.65,388.183,-97.9,-97.29
0.479,0.987,0.516,145.141,-114.44,-70.861
0.053,1.095,0.277,26.855,-1.647,-58.288
0.299,1.199,0.418,-8.422,3.784,-16.357
0.283,0.977,0.162,2.258,-11.84,11.23
0.227,0.971,0.224,-4.821,-5.065,-3.54
0.154,0.994,0.278,-14.16,-7.019,-9.216
0.228,0.927,0.245,-4.455,-5.432,2.868
0.165,0.939,0.231,-4.76,-4.211,-0.732
0.197,0.935,0.255,-13.366,0.244,1.22
0.171,0.937,0.282,-13.0,-1.403,-6.286
0.171,0.933,0.28,-12.634,-1.098,-0.305
0.182,0.914,0.333,-17.333,4.577,4.76
0.122,-0.809,0.543,-0.671,2.563,-2.563
-0.031,-0.69,-0.827,185.607,-15.747,-81.176
-0.021,0.91,-0.46,1032.287,-31.005,-200.5
0.773,0.972,0.569,333.618,-114.501,-162.597
1.18,1.505,0.149,278.564,-77.758,73.181
0.351,0.842,0.301,139.343,-13.488,-69.274
0.424,0.939,-0.197,73.974,-7.263,-12.268
0.23,1.01,0.256,7.202,20.812,-44.067
0.232,1.033,0.133,6.591,-11.047,-0.549
0.157,1.151,0.051,-22.766,-9.338,15.869
0.291,1.043,0.422,-118.286,41.015,11.169
0.246,1.088,0.444,-246.643,52.856,-9.338
0.241,1.212,0.043,-30.761,37.475,-61.767
0.166,0.831,0.113,-5.798,4.76,-11.169
0.1,1.121,1.857,-342.59,156.555,29.785
0.597,2.518,1.205,-1204.895,-91.491,144.653
-0.386,-0.053,-1.201,-341.796,-16.052,57.983
-0.417,-0.686,0.553,-164.184,7.324,-15.38
0.247,-0.873,0.346,-3.784,-6.164,-3.601
0.052,-0.951,0.308,71.35,-14.648,-10.314
0.001,-0.881,0.516,-4.516,-5.004,4.577
-0.045,-0.874,0.51,-31.494,-27.282,-7.568
0.011,-0.822,-0.081,-9.521,-43.64,-20.019
-0.311,-0.093,-1.761,611.511,-1.281,-123.962
-0.068,2.254,1.267,944.335,10.07,-117.797
0.602,1.778,0.711,263.0,-18.493,-116.271
0.489,1.235,0.192,196.166,-93.139,-37.17
0.145,0.812,0.453,149.353,-44.677,-48.095
0.087,1.326,0.455,38.818,-48.217,6.958
0.138,0.744,0.199,57.189,-49.438,-30.761
0.302,1.063,0.102,26.977,-27.16,-18.859
0.104,1.07,0.177,24.291,-26.184,28.381
0.011,0.913,0.106,-21.667,-1.281,-16.418
0.168,0.87,-0.046,2.075,0.427,-11.779
0.113,1.023,-0.052,-5.798,0.366,-1.586
0.037,0.964,0.028,-13.61,2.319,-10.437
0.097,0.966,0.031,-2.563,6.408,-4.516
0.082,0.995,0.024,-1.525,0.915,-1.159
0.067,0.991,0.013,4.943,-4.455,-2.746
0.054,0.989,0.043,-2.624,2.197,-3.417
-0.056,-0.072,0.964,7.385,1.586,3.479
-0.091,-0.069,1.015,11.901,0.793,1.953
-0.074,-0.051,1.014,-6.652,-2.99,6.652
-0.094,-0.159,1.0,-9.216,-9.521,27.282
-0.281,-0.395,0.749,3.845,-9.765,-41.992
0.029,-0.585,0.901,-19.836,2.99,24.291
0.251,-0.18,0.651,3.662,-3.845,-22.399
0.116,-0.098,0.901,-14.587,19.958,67.749
-0.454,0.15,1.099,-206.97,15.502,58.105
0.309,0.148,1.301,-74.401,34.667,58.105
0.039,-0.005,1.035,10.62,6.53,71.411
-0.604,0.034,0.909,-3.112,-25.756,-44.555
-0.141,0.043,1.215,77.575,-8.483,-15.014
-0.194,0.125,1.161,1.403,-15.624,31.921
-0.21,0.142,0.903,7.263,-38.146,12.695
0.202,0.204,0.889,-3.662,-9.582,2.38
0.089,0.085,1.11,-6.958,-3.662,4.028
0.015,-0.007,0.974,-4.211,-0.732,-1.037
0.002,0.0,1.017,-0.427,-3.051,-1.464
0.034,-0.002,0.973,4.821,-2.014,0.61
-0.12,-0.87,0.576,-25.756,-20.019,-3.417
-0.142,-0.886,0.385,-78.125,-44.25,-15.686
0.041,-0.892,0.016,-82.641,-53.833,2.624
-0.153,-0.674,-0.399,-77.209,-138.305,-87.402
-0.109,0.448,-1.303,810.913,-17.517,-218.322
1.322,3.999,3.999,1240.356,-132.019,-207.153
0.371,1.477,2.913,309.509,-26.428,-170.959
0.652,1.077,0.337,92.712,-29.113,-61.523
0.071,1.063,0.351,116.394,-51.696,1.403
0.049,1.168,0.466,87.036,-44.86,-19.714
0.12,0.846,-0.095,48.767,-41.259,-1.342
0.002,0.985,0.125,3.784,-22.155,11.474
0.064,1.028,0.101,7.568,-9.643,-13.549
0.139,0.936,0.008,20.69,-4.455,-6.713
0.038,0.981,-0.035,6.652,-2.258,-1.77
0.039,1.023,0.015,-10.864,-6.103,-7.385
0.054,1.05,-0.065,-5.004,4.15,-0.366
0.003,0.97,-0.042,-1.098,1.037,1.892
-0.004,0.996,-0.029,-1.892,-0.549,-0.793
0.022,0.977,-0.04,-12.695,-2.929,-2.014
